rs17391694	NA
rs2472649	CXCL1
rs2472649	CXCL3
rs2472649	IL8
rs2472649	CXCL6
rs2472649	PF4
rs2472649	CXCL2
rs2472649	PF4V1
rs7657746	IL2
rs7657746	IL21
rs2930047	DAP
rs11742570	PTGER4
rs1363907	ERAP2
rs1363907	ERAP1
rs1363907	LNPEP
rs4836519	NA
rs2188962	IRF1
rs2188962	IL13
rs2188962	CSF2
rs2188962	SLC22A4
rs2188962	IL4
rs2188962	IL3
rs2188962	IL5
rs2188962	PDLIM4
rs2188962	SLC22A5
rs2188962	ACSL6
rs6863411	SPRY4
rs6863411	NDFIP1
rs11741861	TNIP1
rs11741861	IRGM
rs11741861	ZNF300P1
rs6871626	IL12B
rs12654812	DOK3
rs17119	NA
rs9358372	NA
rs1847472	NA
rs6568421	NA
rs3851228	TRAF3IP2
rs3851228	FYN
rs3851228	REV3L
rs6920220	TNFAIP3
rs12199775	PHACTR2
rs1819333	CCR6
rs1819333	RPS6KA2
rs1819333	RNASET2
rs1456896	ZPBP
rs1456896	IKZF1
rs9297145	SMURF1
rs1734907	EPO
rs38904	NA
rs921720	TRIB1
rs1991866	NA
rs10758669	JAK2
rs4743820	NFIL3
rs4246905	TNFSF8
rs4246905	TNFSF15
rs4246905	TNC
rs10781499	CARD9
rs10781499	PMPCA
rs10781499	SDCCAG3
rs10781499	INPP5E
rs12722515	IL2RA
rs12722515	IL15RA
rs1042058	MAP3K8
rs11010067	CREM
rs2790216	CISD1
rs2790216	IPMK
rs10761659	NA
rs2227564	NA
rs1250546	NA
rs6586030	TSPAN14
rs6586030	C10orf58
rs7911264	NA
rs4409764	NKX2-3
rs907611	TNNI2
rs907611	LSP1
rs10896794	CNTF
rs10896794	LPXN
rs11230563	CD6
rs11230563	CD5
rs11230563	PTGDR2
rs4246215	C11orf9
rs4246215	FADS1
rs4246215	FADS2
rs559928	CCDC88B
rs559928	RPS6KA4
rs559928	TRPT1
rs559928	FLRT1
rs2231884	RELA
rs2231884	FOSL1
rs2231884	CTSW
rs2231884	SNX32
rs2155219	NA
rs6592362	NA
rs630923	CXCR5
rs11612508	LOH12CR1
rs11564258	LRRK2
rs11564258	MUC19
rs11168249	VDR
rs7134599	IFNG
rs7134599	IL26
rs7134599	IL22
rs17085007	NA
rs941823	NA
rs9557195	GPR183
rs9557195	GPR18
rs194749	ZFP36L1
rs4899554	FOS
rs4899554	MLH3
rs8005161	GPR65
rs8005161	GALC
rs17293632	SMAD3
rs7495132	CRTC3
rs529866	SOCS1
rs529866	LITAF
rs529866	RMI2
rs7404095	PRKCB
rs26528	RABEP2
rs26528	IL27
rs26528	EIF3C
rs26528	SULT1A1
rs26528	SULT1A2
rs26528	NUPR1
rs10521318	IRF8
rs3091316	CCL13
rs3091316	CCL2
rs3091316	CCL11
rs12946510	IKZF3
rs12946510	ZPBP2
rs12946510	GSDMB
rs12946510	ORMDL3
rs12946510	GSDMA
rs12942547	STAT3
rs12942547	STAT5B
rs12942547	STAT5A
rs1292053	TUBD1
rs1292053	RPS6KB1
rs1893217	NA
rs7240004	SMAD7
rs727088	CD226
rs11879191	TYK2
rs11879191	PPAN-P2RY11
rs11879191	ICAM1
rs17694108	CEBPG
rs11672983	NLRP7
rs11672983	NLRP2
rs11672983	KIR2DL1
rs11672983	LILRB4
rs6142618	HCK
rs4911259	DNMT3B
rs1569723	CD40
rs1569723	MMP9
rs1569723	PLTP
rs913678	CEBPB
rs259964	ZNF831
rs259964	CTSZ
rs6062504	TNFRSF6B
rs6062504	LIME1
rs6062504	SLC2A4RG
rs6062504	ZGPAT
rs2823286	NA
rs2836878	NA
rs7282490	ICOSLG
rs2266959	MAPK1
rs2266959	YDJC
rs2266959	UBE2L3
rs2266959	RIMBP3
rs2266959	CCDC116
rs2412970	LIF
rs2412970	OSM
rs2412970	MTMR3
rs2413583	ATF4
rs2413583	TAB1
rs2413583	APOBEC3G
